recovered_name	original_obfuscated_name	kind	detail
orchard.internal.lIIllIIl	q96.x.lIIllIIl	unidentified	
orchard.internal.lIIllIl	q96.x.lIIllIl	unidentified	
orchard.internal.lIIllIlI	q96.x.lIIllIlI	unidentified	
orchard.internal.lIIllIll	q96.x.lIIllIll	unidentified	
orchard.internal.lIIlll	q96.x.lIIlll	unidentified	
orchard.internal.lIIlllI	q96.x.lIIlllI	unidentified	
orchard.internal.lIIlllIl	q96.x.lIIlllIl	unidentified	
orchard.internal.lIIllll	q96.x.lIIllll	unidentified	
orchard.internal.lIIllllI	q96.x.lIIllllI	unidentified	
orchard.internal.lIIlllll	q96.x.lIIlllll	unidentified	
orchard.internal.lIlI	q96.x.lIlI	unidentified	
orchard.internal.lIlIIIII	q96.x.lIlIIIII	unidentified	
orchard.internal.lIlIIIl	q96.x.lIlIIIl	unidentified	
orchard.internal.lIlIIIlI	q96.x.lIlIIIlI	unidentified	
orchard.internal.lIlIIIll	q96.x.lIlIIIll	unidentified	
orchard.internal.lIlIIl	q96.x.lIlIIl	unidentified	
orchard.internal.lIlIIlI	q96.x.lIlIIlI	unidentified	
orchard.internal.lIlIIlII	q96.x.lIlIIlII	unidentified	
orchard.internal.lIlIIll	q96.x.lIlIIll	unidentified	
orchard.internal.lIlIIllI	q96.x.lIlIIllI	unidentified	
orchard.internal.lIlIlI	q96.x.lIlIlI	unidentified	
orchard.internal.lIlIlII	q96.x.lIlIlII	unidentified	
orchard.internal.lIlIlIl	q96.x.lIlIlIl	unidentified	
orchard.internal.lIlIlIlI	q96.x.lIlIlIlI	unidentified	
orchard.internal.lIlIlIll	q96.x.lIlIlIll	unidentified	
orchard.internal.lIlIll	q96.x.lIlIll	unidentified	
orchard.internal.lIlIllI	q96.x.lIlIllI	unidentified	
orchard.internal.lIlIlll	q96.x.lIlIlll	unidentified	
orchard.internal.lIlIlllI	q96.x.lIlIlllI	unidentified	
orchard.internal.lIlIllll	q96.x.lIlIllll	unidentified	
